customer_id,customers_count
32696100,5
34116600,1
35256159,8
38012476,9
8542121,1
25627898,2
27310605,1
32078116,16
35139417,1
36930419,2
40384943,1
40677508,2
24937700,90
31372678,2
33885883,4
34114385,2
34603773,13
39469777,1
40020091,77
26110478,1
27811449,2
30696327,16
34116697,1
39302023,1
39816980,2
40172790,1
33332504,5
34695560,6
35546701,3
35908578,4
37618832,1
37825663,1
48687834,40
48705151,2
32758994,1
34024897,3
40091717,5
40877517,5
40922275,1
48912241,1
31949367,10
32710000,3
39800515,1
40613510,3
9642901,17
23691460,2
31489384,9
33655351,1
38506300,4
39675826,1
26092591,1
28684504,6
31366111,1
36449364,1
37237218,1
39348667,2
40674584,1
25254447,1
27099375,1
34780369,38
36600304,5
36945863,1
38576440,18
40482433,5
37079486,3
7584352,1
48815874,1
35159308,1
37550820,1
9793816,1
24751016,2
25791037,1
33311443,1
7473513,1
26636931,2
27442166,1
34124129,9
34973658,4
39935044,2
24987502,1
27367275,1
41150379,1
25996945,1
38717957,1
39952848,9
48791610,2
8059367,1
29046632,1
30375144,1
30833302,1
31431880,2
34071662,1
35616822,1
38878698,1
40372793,1
40407665,1
40528141,1
40748674,1
28690703,7
37661878,1
39243663,1
40261281,1
40860406,3
25788198,1
28503418,1
30724048,2
33233346,1
39443873,1
40430889,1
40566893,6
40969769,4
24686407,5
33460547,2
34195928,29
35923512,1
40455650,2
29509975,2
38820805,1
39394741,1
39809358,1
48820108,1
8248627,2
35127743,2
36625869,1
40787631,3
48979490,1
7450780,1
39235770,1
27074026,1
30916544,1
32845605,1
38815521,7
39093333,3
30354407,46
30792016,1
32982882,1
33060773,2
36603798,2
39960854,230
40606398,115
33745853,3
34176483,1
35396786,18
35754111,27
37893244,31
26880875,1
29760526,5
38572516,10
38619724,4
39283359,10
49053851,53
7249117,1
25500861,2
34217184,5
34678709,1
38040447,1
38471545,4
40002805,3
48804978,1
29218900,1
30317618,2
34000365,2
36105380,1
38305176,2
38440757,40
40557903,3
30711877,1
36760649,1
36011913,2
38131105,1
48987205,6
32437455,1
33546848,1
38708988,1
8453462,1
8657634,3
33810106,21
39440109,1
40847609,2
34310952,19
8471872,2
29033610,5
37433146,5
38050507,4
38184623,4
39958051,1
28427322,1
30115481,2
36171237,1
38679320,2
39411518,1
40256684,2
30810853,1
35864332,1
37358870,4
39097365,1
39772087,6
39867193,2
40268759,2
48730760,8
9020197,1
37146835,6
38154390,1
41019639,1
8701534,1
34299624,6
38114939,14
38859355,1
40844885,1
40885433,1
7841089,1
29113747,1
32462576,10
35492674,1
37987467,2
38562035,12
39157141,10
49049373,4
9327364,1
31251426,23
31775790,3
33031253,1
33189841,3
40961124,1
29539370,1
31292865,1
31502676,1
38322002,1
38866235,1
40396032,4
27912801,1
35963161,2
40746813,3
48845602,1
30447840,3
31049483,1
32996643,10
34600748,1
35151866,2
7584094,1
27856589,1
28270808,1
48949069,2
28966624,1
33066148,5
36493620,2
38201602,1
40939035,4
48676921,1
9856279,1
27648483,1
29077791,1
39201103,1
39290378,1
49020593,1
29514052,10
35463608,10
38649383,1
39318275,1
39944305,1
25711805,1
26658801,1
37941161,1
37968187,2
30210988,2
35182726,1
38435421,1
9226548,1
26841382,1
33487907,1
36273298,1
9777742,1
26462821,1
40380467,5
23553451,1
37933670,4
33901240,1
38657473,1
41103596,2
48908230,2
7929161,1
9393116,2
32012472,1
35657181,3
37096241,6
39814370,1
48694834,2
35128949,1
39075461,1
48952974,1
48977791,7
49031774,1
34710824,3
37166488,2
37708658,5
39509585,7
40937968,1
37937046,1
48983725,2
48995650,1
25003315,3
26115702,1
27775178,1
30783067,1
38573648,1
40733965,1
35259993,1
39195195,1
40766482,3
49025017,4
8769699,2
36657676,1
38320490,1
40333794,4
40817543,7
39082663,1
40795991,2
33610681,1
39467455,1
39471003,1
40815825,1
40214990,2
48755440,2
48779184,1
25751808,1
40264272,12
34862759,2
38131056,1
38818420,4
28802331,1
38574862,2
39057286,2
40068252,5
40520431,1
37296380,1
39552611,1
40299003,1
6284204,1
39522230,2
40942142,1
9775921,1
33073827,2
34132246,1
34937752,2
9046704,1
34069552,1
37596902,1
39456758,1
41035204,3
24523688,1
30993524,1
33107388,1
38084103,1
8910591,1
27916222,1
27979081,2
40241237,2
31354121,1
33258498,1
36436616,1
37058935,1
39763580,2
40953411,1
9236589,1
23491959,1
25104881,1
28428671,2
30736057,1
36490870,1
41140058,1
39259948,1
40820396,1
40912857,1
24587618,1
25098729,1
31911695,1
32349307,2
38613030,1
39646272,2
24574311,1
37911194,2
40260137,1
31489391,1
33467717,1
36287162,2
40029571,5
48766037,1
39957549,3
7598997,2
30366854,1
32001133,1
37720715,1
38397238,1
40937880,1
26226348,1
28572014,2
36511616,1
41083860,1
37021305,8
8384709,1
38520515,1
48589883,2
9176097,1
25356452,1
27949635,1
36449012,1
40359455,14
40572133,1
8791801,2
34930315,4
36037094,1
40490203,5
48920435,2
38870044,1
40921142,2
33028839,1
37847720,4
40060021,3
40728781,1
8725249,4
29619455,1
29767676,1
36826844,1
38130610,1
